id,text
1,HU110 
2,HU120 
3,HU211 
4,HU212 
5,HU213 
6,HU221 
7,HU222 
8,HU223 
9,HU231 
10,HU232 
11,HU233 
12,HU311 
13,HU312 
14,HU313 
15,HU321 
16,HU322 
17,HU323 
18,HU331 
19,HU332 
20,HU333 
